"week_start_date","avg_tmax","n_days"
2014-02-21,74.8571428571429,7
2014-02-28,71.1428571428571,7
2014-03-07,73.5714285714286,7
2014-03-14,75,7
2014-03-21,76.5714285714286,7
2014-03-28,75.5714285714286,7
2014-04-04,80,7
2014-04-11,84,7
2014-04-18,81.8571428571429,7
2014-04-25,78.1428571428571,7
2014-05-02,83.5714285714286,7
2014-05-09,84.8571428571429,7
2014-05-16,91.7142857142857,7
2014-05-23,89.2857142857143,7
2014-05-30,100.714285714286,7
2014-06-06,98.2857142857143,7
2014-06-13,96.5714285714286,7
2014-06-20,98.2857142857143,7
2014-06-27,98.7142857142857,7
2014-07-04,90.7142857142857,7
2014-07-11,91.4285714285714,7
2014-07-18,96,6
2014-07-25,93.8571428571429,7
2014-08-01,90.4285714285714,7
2014-08-08,89,7
2014-08-15,86.2857142857143,7
2014-08-22,87.2857142857143,7
2014-08-29,93.7142857142857,7
2014-09-05,85.8571428571429,7
2014-09-12,84.7142857142857,7
2014-09-19,88.8571428571429,7
2014-09-26,83.7142857142857,7
2014-10-03,83.8571428571429,7
2014-10-10,84.4285714285714,7
2014-10-17,83.7142857142857,7
2014-10-24,85,7
2014-10-31,73.5714285714286,7
2014-11-07,78,7
2014-11-14,70.8571428571429,7
2014-11-21,69.8571428571429,7
2014-11-28,72.7142857142857,7
2014-12-05,72.5714285714286,7
2014-12-12,62.2857142857143,7
2014-12-19,64,7
2014-12-26,56.5714285714286,7
2015-01-02,63.7142857142857,7
2015-01-09,64.4285714285714,7
2015-01-16,71.1428571428571,7
2015-01-23,70.8571428571429,7
2015-01-30,68.4285714285714,7
2015-02-06,77.8571428571429,7
2015-02-13,73.8571428571429,7
2015-02-20,69.4285714285714,7
2015-02-27,66.5714285714286,7
2015-03-06,75.4285714285714,7
2015-03-13,73.8571428571429,7
2015-03-20,79.4285714285714,7
2015-03-27,85.7142857142857,7
2015-04-03,81,7
2015-04-10,76.1428571428571,7
2015-04-17,78.1428571428571,7
2015-04-24,78.8571428571429,7
